№,P,#,Инфинитив,3 л. настоящего вр.,3 л. прошедшего однократного вр.,Вопрос,Перевод
2321,,,pasiskirstyti,pasiskìrsto,pasiskìrstė,,"разделиться, распределиться"
2322,,,pasiskolinti,pasiskõlina,pasiskõlino,,"одолжить (у кого-то), занять"
2323,,,pasiskųsti,pasiskùndžia,pasiskùndė,,пожаловаться
2324,,,pasislėpti,pasislėpia,pasìslėpė,,спрятаться
2325,,,pasišnekėti,pasìšneka,pasišnekė́jo,,поговорить
2326,,,pasisotinti,pasisótina,pasisótino,,насытиться
2327,,,pasistatyti,pasistãto,pasistãtė,,"построить (для себя), поставить"
2328,,,pasistengti,pasisténgia,pasisténgė,,постараться
2329,,,pasistiebti,pasistiẽbia,pasìstiebė,,приподняться на цыпочках
2330,,,pasisukti,pasìsuka,pasisùko,,повернуться
2331,,,pasišvaistyti,pasišvaĩsto,pasišvaĩstė,,"потранжирить, порасточительствовать"
2332,,,pasisveikinti,pasisvéikina,pasisvéikino,,поздороваться
2333,,,pasitaikyti,pasitáiko,pasitáikė,,"попасться, встретиться; случиться"
2334,,,pasitaisyti,pasitaĩso,pasitaĩsė,,"исправиться, поправиться"
2335,,,pasitarnauti,pasitarnáuja,pasitarnãvo,,послужить
2336,,,pasitarti,pasìtaria,pasìtarė,,посоветоваться
2337,,,pasiteirauti,pasiteiráuja,pasiteirãvo,,"поинтересоваться, спросить"
2338,,,pasiteisinti,pasitéisina,pasitéisino,,оправдаться
2339,,,pasitikėti,pasìtiki,pasitikė́jo,,доверять
2340,,,pasitikrinti,pasitìkrina,pasitìkrino,,проверить (себя)
2341,213,177,pasitìkti,pasitiñka,pasitìko,ką?,"встретить,встречать"
2342,,,pasitraukti,pasitráukia,pasitráukė,,"отступить, отойти"
2343,,,pasitreniruoti,pasitrenirúoja,pasitrenirãvo,,потренироваться
2344,,,pasiülyti,pasiū́lo,pasiū́lė,,предложить (исправлено с `pasiülyti`)
2345,,,pasiųsti,pasiuñčia,pàsiuntė,,"послать, отправить"
2346,,,pasiūti,pàsiuva,pasiùvo,,сшить
2347,,,pasivaikščioti,pasiváikšto,pasiváikščiojo,,прогуляться
2348,,,pasivaišinti,pasivaišìna,pasivaišìno,,угоститься
2349,,,pasivažinėti,pasivažinė́ja,pasivažinė́jo,,покататься
2350,,,pasivogti,pasivogia,pasìvogė,,украсть (для себя)
2351,,,pasivyti,pasìveja,pasivìjo,,догнать
2352,,,pasižadėti,pasìžada,pasižadė́jo,,пообещать
2353,,,pasižiūrėti,pasižiū̃ri,pasižiūrė́jo,,посмотреть
2354,,,pasižmonėti,pasižmonėja,pasižmonėjo,,"стать человеком (вновь), очеловечиться"
2355,,,pasižvalgyti,pasižval̃go,pasižval̃gė,,оглядеться
2356,,,pasižymėti,pasižỹmi,pasižymė́jo,,"отметить, отличиться"
2357,,,paskaičiuoti,paskaičiúoja,paskaičiãvo,,"посчитать, рассчитать"
2358,,,paskaitinėti,paskaitinė́ja,paskaitinė́jo,,"почитать (немного, бегло)"
2359,,,paskaityti,paskaĩto,paskaĩtė,,прочитать
2360,,,paskambinti,paskam̃bina,paskam̃bino,,позвонить
2361,,,paskandinti,paskandìna,paskandìno,,утопить
2362,,,paskaninti,paskãnina,paskãnino,,"приправить, подсластить"
2363,,,paskatinti,paskãtina,paskãtino,,"поощрить, стимулировать"
2364,,,paskelbti,paskélbia,paskélbė,,"объявить, опубликовать"
2365,,,paskersti,pasker̃džia,pàskerdė,,"зарезать, заколоть (животное)"
2366,,,paskęsti,paskę̃sta,paskeñdo,,утонуть
2367,,,paskirstyti,paskìrsto,paskìrstė,,распределить
2368,,,paskirti,pàskiria,paskýrė,,"назначить, выделить"
2369,,,paskleisti,paskleĩdžia,pàskleidė,,"распространить, рассеять"
2370,,,pasklisti,pasklenda,pasklìdo,,"распространиться, рассеяться"
2371,,,paskolinti,paskõlina,paskõlino,,"одолжить, дать в долг"
2372,,,paskraidyti,paskraĩdo,paskraĩdė,,полетать (немного)
2373,,,paskubėti,paskubà,paskubė́jo,,поспешить
2374,,,paskubinti,paskùbina,paskùbino,,поторопить
2375,,,paslėpti,pàslepia,pàslėpė,,спрятать
2376,,,paslidinėti,paslidinėja,paslidinėjo,,покататься на лыжах
2377,,,pašluoti,pašlúoja,pàšlavė,,подмести
2378,,,paslysti,paslýsta,paslýdo,,поскользнуться
2379,,,pasmaugti,pasmáugia,pasmáugė,,задушить
2380,,,pasmerkti,pasmer̃kia,pàsmerkė,,"осудить, приговорить"
2381,,,pasnausti,pasnáudžia,pasnaudė,,вздремнуть
2382,,,pašnekėti,pašnekà,pašnekė́jo,,поговорить
2383,,,pasninkauti,pãsninkauja,pãsninkavo,,поститься
2384,,,pašnipinėti,pašnipinėja,pašnipinėjo,,"пошпионить, подсмотреть"
2385,,,pasodinti,pasodìna,pasodìno,,посадить
2386,,,pašokti,pašóka,pašóko,,"подпрыгнуть, потанцевать"
2387,,,pasotinti,pasótina,pasótino,,насытить
2388,,,paspausti,paspáudžia,paspaudė̃,,"нажать, надавить"
2389,,,paspirti,pàspiria,paspýrė,,"пнуть, толкнуть ногой"
2390,,,pasprukti,paspruñka,pasprùko,,"ускользнуть, сбежать"
2391,,,pastatyti,pãstato,pastãtė,,"построить, поставить"
2392,214,178,pastebė́ti,pàstebi,pastebė́jo,ką?,"заметить, замечать, приметить, примечать, подметить, подмечать"
2393,,,pasterizuoti,pasterizúoja,pasterizavo,,пастеризовать
2394,,,pastipti,pastim̃pa,pastìpo,,"подохнуть (о животных, грубо)"
2395,,,pastoti,pastója,pastójo,,забеременеть
2396,,,pastovėti,pastóvi,pastovė́jo,,постоять
2397,,,pastumti,pàstumia,pastūmė,,"толкнуть, сдвинуть"
2398,,,pasukti,pàsuka,pasùko,,"повернуть, скрутить"
2399,,,pasuoti,pasúoja,pasãvo,,пасовать (в спорте)
2400,,,pasvajoti,pasvajója,pasvajójo,,помечтать
2401,,,pasvarstyti,pasvar̃sto,pasvar̃stė,,"поразмыслить, обдумать"
2402,,,pasveikinti,pasvéikina,pasvéikino,,"поздравить, поприветствовать"
2403,,,pasveikti,pasveiksta,pasveiko,,выздороветь
2404,,,pašventinti,pašvéntina,pašvéntino,,освятить
2405,,,pasverti,pàsveria,pàsvėrė,,взвесить
2406,,,pašvęsti,pašveñčia,pàšventė,,"посвятить (время, силы)"
2407,,,pašviesėti,pašviesė́ja,pašviesė́jo,,"посветлеть, стать светлее"
2408,,,pašviesinti,pašviẽsina,pašviẽsino,,"осветлить, сделать светлее"
2409,,,pataikauti,pataikáuja,pataikãvo,,"подлизываться, угождать"
2410,,,pataikyti,patáiko,patáikė,,"попасть (в цель), угодить"
2411,,,pataisyti,pataĩso,pataĩsė,,"исправить, починить"
2412,,,patalpinti,patalpìna,patalpìno,,"разместить, поместить"
2413,,,patapti,patam̃pa,patãpo,,"стать, превратиться"
2414,,,patarinėti,patarinė́ja,patarinė́jo,,советовать (многократно)
2415,,,patarnauti,patarnáuja,patarnãvo,,"услужить, обслужить"
2416,,,patarti,pataria,patarė,kam?,советовать
2417,,,pataupyti,pataupo,pataupė,,"сэкономить, подкопить"
2418,,,pateikti,pateĩkia,pàteikė,,"представить, подать"
2419,,,pateisinti,patéisina,patéisino,,оправдать
2420,,,patekti,pateñka,patẽko,,попасть
2421,,,patenkinti,paténkina,paténkino,,удовлетворить
2422,,,patepti,pàtepa,pàtepė,,"помазать, смазать"
2423,,,patiekti,patiẽkia,pàtiekė,,"подать (еду), предоставить"
2424,,,patiesti,patiẽsia,pàtiesė,,"постелить, расстелить"
2425,,,patikėti,pàtiki,patikė́jo,,поверить; доверить
2426,,,patikinti,patìkina,patìkino,,"заверить, убедить"
2427,,,patikrinti,patìkrina,patìkrino,,проверить
2428,,,patikslinti,patìkslina,patìkslino,,уточнить
2429,215,179,patìkti,patiñka,patìko,kas? / kam?,"нравиться, понравиться"
2430,,,patinti,patìnsta,pãtino,,"опухнуть, распухнуть"
2431,,,patirti,pàtiria,patýrė,,"испытать, пережить"
2432,,,patobulėti,patobulė́ja,patobulė́jo,,"усовершенствоваться, улучшиться"
2433,,,patobulinti,patóbulina,patóbulino,,усовершенствовать
2434,,,patraukti,patráukia,patráukė,,"потянуть, привлечь"
2435,,,patrepsėti,pàtrepsi,patrepsė́jo,,потопать (ногами)
2436,,,patrinti,pàtrina,patrýnė,,потереть
2437,,,patrukdyti,patrukdo,patrukdė,,"помешать, побеспокоить"
2438,,,patrūkti,patrū́ksta,patrū́ko,,"порваться, лопнуть"
2439,,,patruliuoti,patruliúoja,patruliãvo,,патрулировать
2440,,,patrumpinti,patrum̃pina,patrum̃pino,,укоротить
2441,,,patvarkyti,patvar̃ko,patvar̃kė,,"привести в порядок, подправить"
2442,,,patvinti,patvìnsta,patvìno,,"разлиться, выйти из берегов"
2443,,,patvirtinti,patvìrtina,patvìrtino,,"подтвердить, утвердить"
2444,,,patylėti,patỹli,patylė́jo,,помолчать
2445,,,paūmėti,paūmė́ja,paūmė́jo,,"обостриться, усугубиться"
2446,,,pauosti,pauodžia,paúodė,,понюхать
2447,,,pauostyti,paúosto,paúostė,,понюхать
2448,,,pavadinti,pavadìna,pavadìno,,"назвать, обозвать"
2449,,,pavadovauti,pavadovauja,pavadovado,,поруководить
2450,,,pavaduoti,pavadúoja,pavadãvo,,"замещать, подменять"
2451,,,pavaidinti,pavaidina,pavaidino,,"сыграть (роль), притвориться"
2452,,,pavairuoti,pavairúoja,pavairãvo,,порулить
2453,,,pavaišinti,pavaišìna,pavaišìno,,угостить
2454,,,pavaizduoti,pavaizdúoja,pavaizdãvo,,"изобразить, представить"
2455,,,pavakarieniauti,pavakarieniáuja,pavakarieniãvo,,поужинать
2456,,,pavalgyti,paválgo,paválgė,,поесть
2457,216,180,pavar̃gti,pavar̃gsta,pavar̃go,nuo ko?,"устать, уставать"
2458,,,pavartoti,pavartója,pavartójo,,"употребить, использовать"
2459,,,pavaryti,pavãro,pavãrė,,"погнать, прогнать"
2460,,,pavasarėti,pavasarė́ja,pavasarė́jo,,"веснеть, становиться весенним"
2461,,,paveikti,paveikià,pàveikė,,"повлиять, воздействовать"
2462,,,paveldėti,paveldė́ja,paveldė́jo,,унаследовать
2463,,,pavėluoti,pavėlúoja,pavėlãvo,,опоздать
2464,,,pavergti,pavérgia,pàvergė,,"поработить, покорить"
2465,,,paverkti,paver̃kia,pàverkė,,поплакать
2466,,,paversti,paver̃čia,pàvertė,,"превратить, перевернуть"
2467,,,pavesti,pàveda,pàvedė,,"повести, отвести; подвести (не выполнить)"
2468,,,pavežėti,pàveža,pavežė́jo,,"подвезти, довезти кого-то (на машине, велосипеде и т.д.)"
2469,,,pavežioti,pavežiója,pavežiójo,,повозить (многократно)
2470,,,pavežti,pàveža,pàvežė,,"подвезти, отвезти"
2471,,,pavirsti,pavir̃sta,pavir̃to,,"превратиться, обернуться"
2472,,,pavirti,pavir̃sta,pavir̃to,,"поварить, сварить (немного)"
2473,,,pavogti,pàvagia,pàvogė,,украсть
2474,217,181,pavydė́ti,pavýdi,pavydė́jo,ko? / kam?,завидовать
2475,,,pavyduliauti,pavyduliáuja,pavyduliãvo,,ревновать
2476,,,pavykti,pavỹksta,pavỹko,,"удаться, получиться"
2477,,,pavyti,pàveja,pavìjo,,догнать
2478,,,pažaboti,pažabója,pažabójo,,"обуздать, укротить"
2479,,,pažadeti,pàžada,pažadė́jo,,пообещать (исправлено с `pažadeti`)
2480,,,pažadinti,pažãdina,pažãdino,,разбудить
2481,,,pažaisti,pažaĩdžia,pàžaidė,,поиграть
2482,,,pažeidinėti,pažeidinė́ja,pažeidinė́jo,,нарушать (многократно)
2483,218,182,pažeĩsti,pažeĩdžia,pàžeidė,ką?,"нарушить, нарушать"
2484,,,pažeminti,pažẽmina,pažẽmino,,"унизить, понизить"
2485,,,pažengti,pažeñgia,pàžengė,,"продвинуться, шагнуть"
2486,,,paženklinti,pažénklina,pažénklino,,"пометить, обозначить"
2487,,,pažinoti,pažį́sta,pažinójo,,"знать (кого-то, быть знакомым)"
2488,219,183,pažìnti,pažį́sta,pažìno,ką?,"знать, быть знакомым"
2489,,,pažįsti,pažį́sta,pažìno,,"знать (кого-то, быть знакомым)"
2490,,,pažiūrėti,pažiū̃ri,pažiūrė́jo,,посмотреть
2491,,,pažvejoti,pažvejója,pažvejójo,,порыбачить
2492,,,pažvelgti,pažvel̃gia,pàžvelgė,,"взглянуть, посмотреть"
2493,,,pažymėti,pažỹmi,pažymė́jo,,"отметить, пометить"
2494,,,pėdinti,pė̃dina,pė̃dino,,"шагать, топать"
2495,,,peikti,peĩkia,peĩkė,,"порицать, упрекать"
2496,,,pelnyti,pel̃no,pel̃nė,,"заработать, заслужить"
2497,,,pelnytis,pel̃nosi,pel̃nėsi,,"наживаться, получать выгоду"
2498,,,peraugti,pérauga,péraugo,,перерасти
2499,,,perbėgti,pérbėga,pérbėgo,,перебежать
2500,,,perbraukti,pérbraukia,pérbraukė,,перечеркнуть
2501,,,perdaryti,pérdaro,pérdarė,,переделать
2502,,,perdažyti,pérdažo,pérdažė,,перекрасить
2503,,,perdėti,pérdeda,perdė́jo,,преувеличить; переложить
2504,,,perdirbti,pérdirba,pérdirbo,,переработать
2505,,,perduoti,pérduoda,pérdavė,,передать
2506,,,perdurti,pérduria,pérdūrė,,проткнуть насквозь
2507,,,pereiti,péreina,perė́jo,,перейти
2508,,,pergalvoti,pérgalvoja,pérgalvojo,,"передумать, переосмыслить"
2509,,,pergudrauti,pérgudrauja,pérgudravo,,перехитрить
2510,,,pergyventi,pérgyvena,pérgyveno,,пережить
2511,,,perimti,périma,perimė,,"перенять, принять (на себя)"
2512,,,perjungti,pérjungia,pérjungė,,переключить
2513,,,perkalbėti,pérkalba,perkalbė́jo,,"переговорить, переубедить"
2514,,,perkalti,pérkala,perkalė,,"перековать, перебить (гвозди)"
2515,,,perkąsti,pérkanda,pérkando,,перекусить (о еде); понять (перен.)
2516,,,perkeisti,pérkeičia,pérkeitė,,"переменить, переделать"
2517,,,perkelti,pérkelia,perkėlė,,"перенести, перевести"
2518,,,perkirsti,pérkerta,pérkirto,,"перерубить, пересечь"
2519,,,perkišti,pérkiša,pérkišo,,"просунуть, пересунуть"
2520,,,perklausyti,pérklauso,pérklausė,,прослушать (всю запись)
2521,,,perkopti,pérkopia,pérkopė,,"перелезть, преодолеть (вершину)"
2522,,,perlaikyti,pérlaiko,pérlaikė,,передержать
2523,,,perlaužti,pérlaužia,pérlaužė,,переломить
2524,,,perleisti,pérleidžia,pérleido,,переиздать; переуступить
2525,,,perlinkti,perlinksta,perlinko,,перегнуться
2526,,,perlipti,pérlipa,pérlipo,,"перелезть, переступить"
2527,,,permainyti,pérmaino,pérmainė,,"переменить, изменить (многократно)"
2528,,,permąstyti,pérmąsto,pérmąstė,,"переосмыслить, передумать"
2529,,,permesti,pérmeta,pérmetė,,перебросить
2530,,,permiegoti,pérmiega,pérmiegojo,,переспать
2531,,,permokėti,pérmoka,permokė́jo,,переплатить
2532,,,permontuoti,pérmontuoja,pérmontavo,,перемонтировать
2533,,,pernakvoti,pérnakvoja,pérnakvojo,,переночевать
2534,,,pernešti,pérneša,pérnešė,,перенести
2535,,,perpildyti,pérpildo,pérpildė,,переполнить
2536,,,perpirkinėti,perpirkinėja,perpirkinėjo,,перекупать (многократно)
2537,,,perpirkti,pérperka,pérpirko,,перекупить
2538,,,perpjauti,pérpjauna,pérpjovė,,перерезать
2539,,,perplaukti,pérplaukia,pérplaukė,,переплыть
2540,,,perprasti,pérpranta,pérprato,,"постичь, понять (досконально)"
2541,,,perrašyti,pérrašo,pérrašė,,переписать
2542,,,perregėgti,pérregi,perregėjo,,"проглядеть, просмотреть (исправлено с `perregėgti`)"
2543,,,perrinkti,pérrenka,pérrinko,,переизбрать; перебрать (детали)
2544,,,persakyti,pérsako,pérsakė,,пересказать
2545,220,184,peršalti,peršąla,peršalo,ką?,простудиться
2546,,,peršauti,péršauna,péršovė,,прострелить
2547,,,persekioti,pérsekioja,pérsekiojo,,преследовать
2548,,,persėsti,pérsėda,pérsėdo,,пересесть
2549,,,persidirbti,pérsidirba,pérsidirbo,,"переработать, перетрудиться"
2550,,,persiėsti,pérsiėda,persiėdė,,переесть (надоесть)
2551,,,persigerti,persigeria,pérsigėrė,,пропитаться (насквозь)
2552,,,persigrupuoti,pérsigrupuoja,pérsigrupavo,,перегруппироваться
2553,,,persikelti,persikelia,persikėlė,iš ko? / į ką?,переселиться
2554,,,persikraustyti,pérsikrausto,pérsikraustė,,переехать (с вещами)
2555,,,persikrauti,pérsikrauna,persikrovė,,перегрузиться
2556,,,persimesti,pérsimeta,pérsimetė,,"перекинуться, переброситься"
2557,,,persimiegoti,persimiega,persimiegojo,,переспать (с кем-то)
2558,,,persimokyti,persimoko,persimokė,,переучиться
2559,,,persirašyti,pérsirašo,pérsirašė,,переписаться (с кем-то); переписать (для себя)
2560,,,persirengti,pérsirengia,pérsirengė,,переодеться
2561,,,persirgti,pérserga,pérsirgo,,переболеть
2562,,,persiskaityti,pérsiskaito,persiskaitė,,перечитать (много)
2563,,,persiųsti,pérsiunčia,pérsiuntė,,переслать
2564,,,persivaišinti,persivaišina,persivaišino,,переесть (от угощения)
2565,,,persivalgyti,pérsivalgo,pérsivalgė,,переесть
2566,,,persivogti,persivogia,persivogė,,переворовать (украсть слишком много или быть пойманным на воровстве)
2567,,,perskaityti,pérskaito,pérskaitė,,прочитать (до конца)
2568,,,perskambinti,pérskambina,pérskambino,,перезвонить
2569,,,perskelti,pérskelia,pérskėlė,,расколоть (насквозь)
2570,,,peršlapti,péršlampa,péršlapo,,промокнуть насквозь
2571,,,peršokti,péršoka,péršoko,,перепрыгнуть
2572,,,perspėti,pérspėja,pérspėjo,,предупредить
2573,,,perspjauti,pérspjauna,pérspjovė,,переплюнуть (в прямом и переносном смысле)
2574,,,perstatyti,pérstato,pérstatė,,"переставить, перестроить"
2575,,,persvarstyti,pérsvarsto,pérsvarstė,,"пересмотреть, передумать"
2576,,,persverti,pérsveria,pérsvėrė,,перевесить
2577,,,perteikti,pérteikia,pérteikė,,"передать (информацию, смысл)"
2578,,,perti,pẽria,pė̃rė,,парить (в бане)
2579,,,pertikrinti,pértikrina,pértikrino,,перепроверить
2580,,,pertraukti,pértraukia,pértraukė,,прервать
2581,,,pertrenkti,pertrenkia,pértrenkė,,"перебить, перерубить (ударом)"
2582,,,pertvarkyti,pértvarko,pértvarkė,,"перестроить, реорганизовать"
2583,,,pervaišinti,pervaišina,pervaišino,,"перекормить, переугостить"
2584,,,pervargti,pérvargsta,pérvargo,,"переутомиться, перетрудиться"
2585,,,pervažiuoti,pérvažiuoja,pérvažiavo,,"переехать, проехать (через что-то)"
2586,,,perversti,pérverčia,pérvertė,,"перевернуть (страницу, предмет)"
2587,,,perverti,pérveria,pérvėrė,,"пронзить, проколоть насквозь"
2588,,,pervesti,pérveda,pérvedė,,"перевести (деньги, человека)"
2589,,,pervežti,pérveža,pérvežė,,перевезти
2590,,,peržengti,péržengia,péržengė,,"переступить, перейти (границу)"
2591,,,peržiūrėti,péržiūri,péržiūrėjo,,"просмотреть, пересмотреть"
2592,,,peržiūrinėti,péržiūrinėja,péržiūrinėjo,,просматривать (многократно)
2593,,,peržvelgti,péržvelgia,péržvelgė,,"окинуть взглядом, просмотреть"
2594,,,pešioti,pešiója,pešiójo,,"теребить, выдергивать (по одному)"
2595,,,pešti,pẽša,pẽšė,,"драть, вырывать"
2596,,,peštis,pẽšasi,pẽšėsi,,"драться, ссориться"
2597,,,piẽšti,piẽšia,piẽšė,ką?,рисовать
2598,221,185,pietáuti,pietáuja,pietãvo,,обедать
2599,,,pigti,piñga,pìgo,,дешеветь
2600,,,piktinti,pìktina,pìktino,,"возмущать, злить"
2601,,,piktnaudžiauti,piktnaudžiáuja,piktnaudžiãvo,,злоупотреблять
2602,,,pildyti,pildo,pildė,ką?,заполнять
2603,,,pildytis,pìldosi,pìldėsi,,"заполняться, выполняться"
2604,,,pilkuoti,pilkúoja,pilkãvo,,сереть (виднеться серым)
2605,224,188,pìlti,pìla,pýlė,ką? / ko?,"лить, наливать"
2606,,,pinti,pina,pynė,ką?,плести
2607,,,piratauti,piratáuja,piratãvo,,пиратствовать
2608,,,pirkinėti,pirkinėja,pirkinė́jo,,покупать (многократно)
2609,225,189,pir̃kti,per̃ka,pir̃ko,ką? / ko?,"купить, покупать"
2610,,,pirmauti,pirmáuja,pirmãvo,,"лидировать, первенствовать"
2611,,,pirstelėti,pirstelėja,pirstelė́jo,,пукнуть (слегка)
2612,,,piršti,per̃ša,pir̃šo,,сватать; предлагать (палец)
2613,,,pirštis,per̃šasi,pir̃šosi,,свататься
2614,,,pisti,pisa,piso,,(грубое) ебать
2615,,,pistis,pisasi,pisosi,,(грубое) ебаться
2616,,,pjaustyti,pjausto,pjaustė,ką?,нарезать
2617,226,190,pjáuti,pjáuna,pjóvė,ką?,резать; пилить; косить
2618,,,plakti,plãka,plãkė,,взбивать; хлестать
2619,,,planiruoti,planiruoja,planiravo,,"планировать (землю), выравнивать"
2620,227,191,planúoti,planúoja,planãvo,ką?,планировать
2621,,,plasnoti,plasnója,plasnójo,,"порхать, трепетать (крыльями)"
2622,,,platinti,platinà,plãtino,,распространять
2623,228,192,pláukioti,pláukioja,pláukiojo,,плавать
2624,229,193,plaũkti,plaũkia,plaũkė,kuo? / į ką?,плыть
2625,,,plaukyti,pláuko,plaũkė,,"плавать (многократно, туда-сюда)"
2626,230,194,pláuti,pláuna,plóvė,ką?,"мыть, умывать"
2627,231,195,pláutis,pláunasi,plóvėsi,ką?,мыть
2628,,,pleiskanoti,pleiskanója,pleiskanojo,,"шелушиться, перхотиться"
2629,,,plepėti,plẽpa,plepė́jo,,"болтать, трепаться"
2630,,,plėšikauti,plėšikáuja,plėšikãvo,,"разбойничать, грабить"
2631,,,pleškėti,plẽška,pleškė́jo,,"трещать, хлопать (о пламени, выстрелах)"
2632,,,plėsti,plẽčia,plė̃tė,,расширять
2633,,,plėstis,plẽčiasi,plė̃tėsi,,расширяться
2634,,,plėšyti,plė́šo,plė́šė,,"рвать, разрывать"
2635,,,plėtoti,plėtója,plėtójo,,развивать
2636,,,pleventi,plevẽna,plevẽno,,"развеваться, трепетать"
2637,,,plevėsuoti,plevėsúoja,plevėsãvo,,"развеваться, трепетать"
2638,,,pliaukšti,pliaũškia,pliaũškė,,"шлепнуть, хлопнуть"
2639,,,plikyti,plìko,plìkė,,"ошпаривать, обваривать"
2640,,,plisti,pliñta,plìto,,распространяться
2641,,,pliumptelėti,pliumptelėja,pliùmptelėjo,,"плюхнуться, шлепнуться"
2642,,,pliurpti,pliur̃pia,pliur̃pė,,"болтать (много), трепаться"
2643,,,plonėti,plonė́ja,plonė́jo,,"истончаться, становиться тоньше"
2644,,,ploti,ploja,plojo,,аплодировать
2645,,,plūduriuoti,plūduriuoja,plūduriavo,,"плавать (на поверхности), дрейфовать"
2646,,,plukdyti,plùkdo,plùkdė,,"сплавлять, нести по течению"
2647,,,plūktis,plū̃kiasi,plū̃kėsi,,"усердно трудиться, корпеть, пыхтеть, вкалывать, мучиться с чем-то
(особенно с физической или тяжёлой работой)"
2648,,,plušti,plūša,plùšo,,"трудиться, усердно работать"
2649,,,plūstis,plū́stasi,plū́dosi,,"ругаться, браниться"
2650,,,plyšoti,plýšo,plýšojo,,"зиять, быть разорванным"
2651,232,196,plýšti,plýšta,plýšo,,"рваться, разрываться"
2652,,,poilsiauti,poilsiáuja,poilsiãvo,,отдыхать (на отдыхе)
2653,,,pokštauti,pókštauja,pókštavo,,"шутить, проказничать"
2654,,,pokštelėti,pokštelėja,pókštelėjo,,"хлопнуть, щелкнуть (один раз)"
2655,,,pompuoti,pompuoja,pompavo,,"качать, нагнетать"
2656,,,populiarėti,populiarė́ja,populiarė́jo,,становиться популярным
2657,,,posėdžiauti,posėdžiáuja,posėdžiãvo,,заседать
2658,,,pozuoti,pozúoja,pozãvo,,позировать
2659,,,prabėgti,prabė́ga,prabė́go,,пробежать
2660,,,prabildėti,prabilda,prabildė́jo,,"заговорить, произнести"
2661,,,prabilti,prabỹla,prabìlo,,"заговорить, произнести"
2662,,,prabusti,prabuñda,prabùdo,,проснуться
2663,233,197,pradė́ti,pràdeda,pradė́jo,ką?,"начать, начинать"
2664,,,pradingti,pradiñgsta,pradiñgo,,"пропасть, исчезнуть"
2665,,,pradirbti,pradìrba,pradìrbo,,проработать (срок)
2666,,,pradžiuginti,pradžiùgina,pradžiùgino,,обрадовать
2667,,,pradžiūti,pradžiūsta,pradžiuvo,,подсохнуть
2668,,,praeiti,praeĩna,praė̃jo,,пройти
2669,,,pragerti,pràgeria,pragė́rė,,пропить
2670,,,pragręžti,pragrę̃žia,pràgręžė,,просверлить
2671,,,pragysti,pragýsta,pragýdo,,"запеть (о птице), защебетать"
2672,,,pragyventi,pragyvẽna,pragyvẽno,,"прожить (жизнь, срок)"
2673,,,prailginti,praìlgina,praìlgino,,"продлить, удлинить"
2674,,,prajuokinti,prajuõkina,prajuõkino,,рассмешить
2675,,,prakaituoti,prakaitúoja,prakaitãvo,,потеть
2676,,,prakeikti,prakéikia,prakéikė,,проклясть
2677,,,prakiurdyti,prakiùrdo,prakiùrdė,,продырявить
2678,,,praktikuoti,praktikúoja,praktikãvo,,практиковать
2679,,,pralaimėti,pralaimi,pralaimėjo,ką?,проигрывать
2680,,,pralaukti,praláukia,praláukė,,прождать
2681,,,praleidinėti,praleidinė́ja,praleidinė́jo,,"пропускать (многократно), проводить (время)"
2682,,,praleisti,praléidžia,praléido,,"пропустить, провести (время)"
2683,,,pralenkti,praleñkia,pràlenkė,,"обогнать, превзойти"
2684,,,pralieti,pralíeja,pralíejo,,пролить
2685,,,pralinksmėti,pralinksmė́ja,pralinksmė́jo,,развеселиться
2686,,,pralinksminti,pralìnksmina,pralìnksmino,,развеселить
2687,,,pralįsti,pràlenda,praliñdo,,"пролезть, проскользнуть"
2688,,,pralošti,pralõšia,pràlošė,,проиграть (в азартные игры)
2689,,,pramankštinti,pramankštìna,pramankštìno,,"размять, потренировать"
2690,,,pramanyti,prãmano,pramãnė,,"выдумать, придумать"
2691,,,pramesti,pràmeta,pràmetė,,"промахнуться, пропустить"
2692,,,pramiegoti,pramiẽga,pramiegójo,,проспать
2693,,,pramigti,pramiñga,pramìgo,,проспать
2694,,,pramogauti,pramogáuja,pramogãvo,,развлекаться
2695,,,pramokti,pramóksta,pramóko,,"подучиться, научиться (немного)"
2696,,,pramušti,pràmuša,pràmušė,,"пробить, проломить"
2697,,,pranašauti,pranašáuja,pranašãvo,,"предсказывать, пророчить"
2698,234,198,pranèšti,pràneša,prànešė,ką?,"сообщить, сообщать, известить, извещать"
2699,,,pranokti,pranóksta,pranóko,,превзойти
2700,,,pranykti,pranỹksta,pranỹko,,"исчезнуть, пропасть"
2701,,,praplatinti,praplãtina,praplãtino,,расширить
2702,,,praplėsti,pràplečia,pràplėtė,,расширить
2703,,,prapulti,prapúola,prapúolė,,"пропасть, исчезнуть"
2704,,,prarasti,prarañda,prarãdo,,потерять
2705,,,praretinti,prarẽtina,prarẽtino,,проредить
2706,,,praryti,prarỹja,prarìjo,,проглотить
2707,,,prasapnuoti,prasapnuoja,prasapnavo,,"присниться, увидеть во сне"
2708,,,prašauti,prašáuna,prašóvė,,"промахнуться, выстрелить мимо"
2709,,,prasibusti,prasibunda,prasibùdo,,проснуться (с трудом)
2710,235,199,prasidė́ti,prasìdeda,prasidė́jo,,"начаться, начинаться"
2711,,,prasidirbti,prasidirba,prasidìrbo,,проработать (срок)
2712,,,prasidurti,prasiduria,prasidū́rė,,проткнуть (себе)
2713,,,prasigerti,prasìgeria,prasigė́rė,,пропиться
